num_nodes,dijkstra_approx_avg,bellman_ford_approx_avg,exact_avg
1,0.0,0.0,0.0
21,183.7,202.83333333333334,183.7
41,260.03333333333336,302.03333333333336,260.03333333333336
61,340.3,391.06666666666666,340.3
81,388.7,442.43333333333334,388.7
101,448.1666666666667,505.8,448.1666666666667
121,523.9333333333333,585.6,523.9333333333333
141,559.3666666666667,623.1,559.3666666666667
161,605.8333333333334,671.2333333333333,605.8333333333334
181,668.2666666666667,722.5333333333333,668.2666666666667
201,714.0333333333333,781.7,714.0333333333333
221,744.4,818.3666666666667,744.4
241,791.6,861.8,791.6
261,874.5,939.9666666666667,874.5
281,912.1666666666666,991.3,912.1666666666666
